mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_max_depth;param_max_features;param_min_samples_leaf;param_min_samples_split;param_n_estimators;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;mean_test_score;std_test_score;rank_test_score
0.12740478515625;0.0027230554463294307;0.005531024932861328;0.0004529793736519062;17;;10;14;64;{'max_depth': 17, 'max_features': None, 'min_samples_leaf': 10, 'min_samples_split': 14, 'n_estimators': 64};0.7988826815642458;0.8426966292134831;0.8033707865168539;0.797752808988764;0.8426966292134831;0.817079907099366;0.02100023156749713;29
0.019210004806518556;0.0051125408777597785;0.0024248600006103516;0.00042500024313778126;16;sqrt;8;12;8;{'max_depth': 16, 'max_features': 'sqrt', 'min_samples_leaf': 8, 'min_samples_split': 12, 'n_estimators': 8};0.7932960893854749;0.848314606741573;0.8258426966292135;0.7191011235955056;0.8426966292134831;0.80585022911305;0.04742065595817372;63
0.3507673263549805;0.026840989515173858;0.012024927139282226;0.001349264462505754;18;;6;12;163;{'max_depth': 18, 'max_features': None, 'min_samples_leaf': 6, 'min_samples_split': 12, 'n_estimators': 163};0.7821229050279329;0.8426966292134831;0.8202247191011236;0.8202247191011236;0.8370786516853933;0.8204695248258114;0.02116832716161986;12
0.22649188041687013;0.012379179654731228;0.010407638549804688;0.0010325299456198824;17;log2;13;7;144;{'max_depth': 17, 'max_features': 'log2', 'min_samples_leaf': 13, 'min_samples_split': 7, 'n_estimators': 144};0.8044692737430168;0.8314606741573034;0.8202247191011236;0.7359550561797753;0.8033707865168539;0.7990961019396147;0.03325002123638868;100
0.09367570877075196;0.002574625261458643;0.005105829238891602;0.0004889875571121683;4;sqrt;18;8;63;{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 18, 'min_samples_split': 8, 'n_estimators': 63};0.776536312849162;0.8258426966292135;0.8146067415730337;0.7191011235955056;0.8033707865168539;0.7878915322327538;0.03809110638997773;184
0.0066166877746582035;0.00038545062002592233;0.0017070770263671875;0.0006064582682314002;3;log2;11;12;3;{'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 11, 'min_samples_split': 12, 'n_estimators': 3};0.7206703910614525;0.8258426966292135;0.8370786516853933;0.7415730337078652;0.8146067415730337;0.7879543029313916;0.04740766063487927;182
0.15941691398620605;0.018029344656477594;0.007511663436889649;0.0005131922205566024;9;log2;20;10;96;{'max_depth': 9, 'max_features': 'log2', 'min_samples_leaf': 20, 'min_samples_split': 10, 'n_estimators': 96};0.7877094972067039;0.8426966292134831;0.8146067415730337;0.7078651685393258;0.797752808988764;0.790126169104262;0.045152696170719965;174
0.12639446258544923;0.0023975646930493553;0.006776046752929687;0.0003214490957411032;13;log2;8;18;82;{'max_depth': 13, 'max_features': 'log2', 'min_samples_leaf': 8, 'min_samples_split': 18, 'n_estimators': 82};0.770949720670391;0.8258426966292135;0.8202247191011236;0.7415730337078652;0.8202247191011236;0.7957629778419434;0.033626747775839155;127
0.061265420913696286;0.004459151421885978;0.004317951202392578;0.0005764838462702193;20;sqrt;20;14;39;{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'min_samples_split': 14, 'n_estimators': 39};0.8044692737430168;0.8426966292134831;0.8202247191011236;0.7078651685393258;0.8033707865168539;0.7957253154227607;0.046175405890057176;133
0.35317153930664064;0.020869971692708458;0.014826011657714844;0.0011229314053106962;15;log2;3;5;196;{'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 196};0.7877094972067039;0.8539325842696629;0.8202247191011236;0.7921348314606742;0.8370786516853933;0.8182160567447117;0.025480906726259255;21
0.2754552364349365;0.02788140489977167;0.011685657501220702;0.0005188107138562477;8;log2;10;15;161;{'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 10, 'min_samples_split': 15, 'n_estimators': 161};0.7988826815642458;0.8314606741573034;0.8146067415730337;0.7415730337078652;0.8202247191011236;0.8013495700207145;0.031679716775621085;83
